corpusId,title,year,citations,venue,tier,artifact_name,artifact_kind,source_space,task_shape,modality,n_steps,headline_result,availability,step_dependency,decomposition_known_upfront,answer_multiplicity,coverage_determinability,step_dependency__depth,decomposition_known_upfront__depth,answer_multiplicity__depth,coverage_determinability__depth,search_tools,search_tools_kind,search_tools_named,search_access,search_tools_depth,task_summary,task_phrase,task_summary_depth,link
286376578,$OneMillion-Bench: How Far are Language Agents from Human Experts?,2026,11,arXiv.org,in,$OneMillion-Bench,benchmark,mixed,constraint-satisfying-decision,text-web,,,,adaptive,partially-emergent,multiple-defensible,hard,fulltext,fulltext,abstract,fulltext,"['web-search-api', 'agent-choice']",listed,"web search tool calling under official provider scaffolds (OpenAI, Anthropic) or OpenRouter, ablated against a no-search/vanilla condition",open-web,fulltext,"Given an expert-level professional problem, retrieve authoritative sources, resolve conflicting evidence, and apply domain rules to reach a compliant decision.","requires retrieving authoritative sources, resolving conflicting evidence, applying domain-specific rules, and making constraint decisions",fulltext,https://api.semanticscholar.org/CorpusId:286376578
285615092,"AD-Bench: A Real-World, Trajectory-Aware Advertising Analytics Benchmark for LLM Agents",2026,3,arXiv.org,in,AD-Bench,benchmark,enterprise-documents,single-fact-answer,text-web,,"Best model Claude-Opus-4.7 attains Pass@1=76.9%, Pass@3=80.4%, 82.7% trajectory coverage overall, dropping on L3 (hardest tier) to Pass@1=61.4%, Pass@3=65.1%; no human baseline given.",,fixed-chain,partially-emergent,single-verifiable,estimable,abstract,fulltext,abstract,abstract,"['domain-api', 'local-retriever', 'code-execution']",listed,"9-tool advertising analytics API suite (Table 5): get_user_account_list, get_account_info, get_account_adgroup_info, daily_data_by_group_and_field, hourly_data_by_group_and_field, search (domain-knowledge keyword retrieval), calculator (executes Python code), get_top_good_creative, summarize_results",mixed,fulltext,"Given a real advertiser's analytics question, call the right sequence of account, metrics, and calculation tools to produce a correct answer.","Requests are stratified into three difficulty levels (L1–L3) to probe multi-round, multi-tool collaboration.",fulltext,https://api.semanticscholar.org/CorpusId:285615092
284132783,Step-DeepResearch Technical Report,2025,13,arXiv.org,relevant,ADR-Bench,benchmark,open-web,synthesised-report,text-web,,"Step-DeepResearch (32B) scores 61.4% on Scale AI Research Rubrics and significantly outperforms comparable models on ADR-Bench, rivaling SOTA closed-source models like OpenAI and Gemini Deep Research.",,adaptive,partially-emergent,open-ended,estimable,abstract,abstract,abstract,abstract,"['web-browser', 'code-execution']",listed,"batch_web_surfer (web search/browsing), todo (task tracking), and shell (command execution inside a restricted MCP sandbox with tmux session management)",open-web,fulltext,"Given an open-ended research request, plan, search the web across many turns, verify evidence across sources, and write a structured report.","Open-ended research not only demands robust retrieval capabilities but also challenges the agent’s comprehensive skills in latent intent recognition, long-horizon decision-making, multi-turn tool use, logical structuring, and cross-source verification.",fulltext,https://api.semanticscholar.org/CorpusId:284132783
283449301,ADRA-Bank: A Modular Benchmark for Academic Deep Research Agents,2025,1,,in,ADRA-Bank,benchmark,scientific-literature,synthesised-report,text-web,,,,fixed-chain,enumerable-at-start,set-valued,knowable,fulltext,fulltext,fulltext,fulltext,"['web-search-api', 'local-retriever', 'agent-choice']",partially-listed,"generic formal 'toolset' (search APIs or local indexers) over a retrieval corpus (open web or offline collection); concrete end-to-end systems evaluated are commercial deep-research products (OpenAI o3-deep-research, Gemini-2.5-Pro, Perplexity, Grok) plus Search-r1, each with its own undisclosed internal tools",mixed,fulltext,"Given an academic research question, plan sub-tasks, retrieve supporting evidence, and reason to produce a report checked against a paper's own citations and findings.","the benchmark assesses the relevance, coverage, and provenance of retrieved evidence, using the citations of papers as a verifiable ground truth",fulltext,https://api.semanticscholar.org/CorpusId:283449301
285270621,Aggregation Queries over Unstructured Text: Benchmark and Agentic Method,2026,1,arXiv.org,in,AGGBench,benchmark,curated-corpus,set-of-entities,text-web,,DFA (Disambiguation-Filtering-Aggregation) consistently improves aggregation evidence coverage over strong RAG and agentic baselines; no single numeric headline score is given in the abstract.,https://anonymous.4open.science/r/DFA-A4C1,fixed-chain,enumerable-at-start,set-valued,hard,abstract,abstract,abstract,abstract,['local-retriever'],partially-listed,BM25 retriever (used to build/expand the corpus and by rank-then-read baselines); the DFA baseline's filtering module selects a tool such as exact matching or fuzzy matching over corpus chunks,fixed-corpus,fulltext,"Given a query with logical conditions and a fixed document corpus, find every single entity in the corpus that satisfies all the conditions, not just one.",the goal is to retrieve the complete set of entities that satisfy conditions specified in,fulltext,https://api.semanticscholar.org/CorpusId:285270621
290467046,AISE-Bench: A Full-Cycle Curated Benchmark for Information Seeking on Academic Knowledge Graphs,2026,0,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,in,AISE-Bench,benchmark,structured-database,structured-record,text-web,,"Among 14 evaluated methods, the strongest model (PLAY2PROMPT with Gemini-3-Pro) achieves only moderate performance and often struggles with API planning and execution.",https://aise-bench.github.io/,fixed-chain,partially-emergent,single-verifiable,estimable,abstract,abstract,abstract,abstract,"['domain-api', 'structured-query']",listed,"a 9-API library over an academic knowledge graph (AMiner), grouped into entity search APIs and entity detail/relationship APIs across papers, authors, venues, and organizations; paper retrieval integrates both the AMiner search API and the Google Scholar search API (search_paper_id_gs)",structured-database,fulltext,"Given an academic search question, plan and execute a chain of knowledge-graph API calls, then produce a cited, grounded answer.","enables comprehensive evaluation of LLMs in intent understanding, API planning, complex parameterization, and source-grounded, faithful summarization over long contexts.",fulltext,https://api.semanticscholar.org/CorpusId:290467046
291080484,ARAC: Benchmarking Auto-Research's Alignment and Completeness on End-to-End Researchs,2026,0,,relevant,ARAC-Bench,benchmark,scientific-literature,synthesised-report,text-web,,Systematic evaluation of 11 SOTA frameworks yields a best alignment score of only 67.9 of 100; validation against Ph.D. Candidates rankings shows a strong correlation of 0.8141.,,fixed-chain,enumerable-at-start,open-ended,estimable,abstract,abstract,abstract,abstract,"['agent-choice', 'code-execution']",partially-listed,"diverse existing Auto-Research frameworks under test (AutoResearchClaw, ARIS, AI-Scientist-v2, NanoResearch, Dr.Claw, Claw-AI-Lab, AI-Researcher, EvoScientist, AutoSci, Agent Laboratory, ClaudeCode with research skills), each bringing its own literature-search and code/sandbox execution tools; literature search is constrained to a mid-2025 cutoff and the Experiment stage requires actual sandbox execution of download/configuration scripts",mixed,fulltext,"Given a research problem, an autonomous research agent must propose, run experiments, and synthesize findings; graded on matching human researcher practice.",a Researcher-Mimicking Evaluation framework that shifts the objective from matching final answers to reproducing high-quality human research processes.,fulltext,https://api.semanticscholar.org/CorpusId:291080484
288256849,ASTRA-QA: A Benchmark for Abstract Question Answering over Documents,2026,0,arXiv.org,relevant,ASTRA-QA,benchmark,curated-corpus,synthesised-report,text-web,,"Experiments with representative RAG methods (vanilla, graph-based, hierarchical retrieval) show ASTRA-QA provides reference-grounded diagnostics for coverage, hallucination, and retrieval-scope robustness; no single numeric top score or named best system is given in the abstract.",https://xinyangsally.github.io/astra-benchmark,not-determinable,partially-emergent,multiple-defensible,knowable,abstract,abstract,abstract,abstract,['local-retriever'],listed,"vanilla, graph-based, and hierarchical Retrieval-Augmented Generation methods (ArchRAG, KET-RAG, HiRAG, and the Graph-based RAG framework) over a corpus of academic papers and news documents",fixed-corpus,fulltext,"Given an abstract question over one or more long documents, retrieve scattered relevant passages and synthesize a coherent answer covering all key points.",abstract questions that require synthesizing scattered information from long documents or across multiple documents into coherent answers,fulltext,https://api.semanticscholar.org/CorpusId:288256849
286224603,ASTRA-bench: Evaluating Tool-Use Agent Reasoning and Action Planning with Personal User Context,2026,10,arXiv.org,relevant,ASTRA-bench,benchmark,mixed,structured-record,text-web,,"Evaluation of state-of-the-art models (e.g., Claude-4.5-Opus, DeepSeek-V3.2) reveals significant performance degradation under high-complexity conditions, with argument generation emerging as the primary bottleneck (no single numeric headline score given).",,adaptive,partially-emergent,single-verifiable,not-determinable,abstract,abstract,abstract,abstract,['domain-api'],listed,"ToolSandbox-based interactive personal-assistant tool suite: email, calendar, messages, plus device system capabilities/APIs/sensors",structured-database,fulltext,"Given a user's request grounded in their evolving personal data, call the right tools in the right order to fulfill their intent.",a benchmark that uniquely unifies time-evolving personal context with an interactive toolbox and complex user intents,fulltext,https://api.semanticscholar.org/CorpusId:286224603
285540297,The Automatic Verification of Image-Text Claims (AVerImaTeC) Shared Task,2026,1,Proceedings of the Ninth Fact Extraction and VERification Workshop (FEVER),in,AVerImaTeC,benchmark,mixed,verified-claim,multimodal-image,,"Winning team HUMANE achieved an AVerImaTeC score of 0.5455 in the testing phase; 6 systems submitted in testing, all outperforming the provided baseline.",,adaptive,fully-emergent,single-verifiable,estimable,abstract,fulltext,abstract,abstract,"['web-search-api', 'local-retriever', 'domain-api']",listed,"Google Search API (text web search) and Google Cloud Vision reverse image search (RIS), used to construct the curated knowledge store; baseline uses BM25 sparse retrieval over the knowledge store; participants could also use external web search engines directly, and some teams added Playwright browser scraping, Google Lens RIS, Firecrawl API, or multimodal retrievers (e.g. ColPali)",mixed,fulltext,"Given an image-text claim, retrieve supporting evidence from the web or a provided store, then verify whether the claim is true.",aims to advance system development for retrieving evidence and verifying real-world image-text claims,fulltext,https://api.semanticscholar.org/CorpusId:285540297
